Photoabsorption and Partial Photoionization Cross Sections for Atomic Oxygen
    LAM   ABS     4So    2Do    2Po    4P     2P     K
   61.90  0.355  0.105  0.113  0.075  0.034  0.027  0.000
   62.30  0.360  0.106  0.115  0.076  0.035  0.027  0.000
   62.35  0.361  0.107  0.115  0.076  0.035  0.027  0.000
   62.77  0.366  0.108  0.117  0.078  0.035  0.028  0.000
   63.16  0.371  0.110  0.119  0.079  0.036  0.028  0.000
   63.30  0.373  0.110  0.119  0.079  0.036  0.028  0.000
   63.65  0.378  0.112  0.121  0.080  0.037  0.029  0.000
   64.11  0.384  0.114  0.123  0.081  0.037  0.029  0.000
   64.60  0.391  0.116  0.125  0.083  0.038  0.030  0.000
   65.21  0.401  0.118  0.128  0.085  0.039  0.030  0.000
   65.71  0.408  0.121  0.130  0.087  0.040  0.031  0.000
   65.85  0.411  0.121  0.131  0.087  0.040  0.031  0.000
   66.26  0.417  0.123  0.133  0.088  0.040  0.032  0.000
   66.30  0.418  0.124  0.133  0.089  0.040  0.032  0.000
   66.37  0.419  0.124  0.134  0.089  0.041  0.032  0.000
   67.14  0.431  0.127  0.138  0.091  0.042  0.033  0.000
   67.35  0.434  0.128  0.139  0.092  0.042  0.033  0.000
   68.35  0.450  0.133  0.144  0.095  0.044  0.034  0.000
   69.65  0.470  0.139  0.150  0.100  0.046  0.036  0.000
   70.01  0.476  0.141  0.152  0.101  0.046  0.036  0.000
   70.54  0.484  0.143  0.155  0.103  0.047  0.037  0.000
   70.75  0.487  0.144  0.156  0.103  0.047  0.037  0.000
   71.01  0.491  0.145  0.157  0.104  0.048  0.037  0.000
   71.94  0.506  0.150  0.162  0.107  0.049  0.038  0.000
   72.31  0.512  0.151  0.164  0.109  0.050  0.039  0.000
   72.63  0.518  0.153  0.165  0.110  0.050  0.039  0.000
   72.80  0.521  0.154  0.166  0.110  0.050  0.040  0.000
   72.95  0.524  0.155  0.167  0.111  0.051  0.040  0.000
   73.47  0.533  0.158  0.170  0.113  0.052  0.040  0.000
   73.55  0.535  0.158  0.171  0.113  0.052  0.041  0.000
   74.21  0.547  0.162  0.175  0.116  0.053  0.041  0.000
   74.44  0.551  0.163  0.176  0.117  0.053  0.042  0.000
   74.83  0.558  0.165  0.178  0.118  0.054  0.042  0.000
   75.03  0.562  0.166  0.179  0.119  0.054  0.043  0.000
   75.29  0.566  0.168  0.181  0.120  0.055  0.043  0.000
   75.46  0.569  0.168  0.182  0.121  0.055  0.043  0.000
   75.73  0.574  0.170  0.183  0.122  0.056  0.044  0.000
   76.01  0.579  0.171  0.185  0.123  0.056  0.044  0.000
   76.48  0.588  0.174  0.188  0.125  0.057  0.045  0.000
   76.83  0.594  0.176  0.190  0.126  0.058  0.045  0.000
   76.94  0.596  0.176  0.190  0.126  0.058  0.045  0.000
   77.30  0.603  0.178  0.193  0.128  0.058  0.046  0.000
   77.74  0.611  0.181  0.195  0.130  0.059  0.046  0.000
   78.56  0.626  0.185  0.200  0.133  0.061  0.048  0.000
   78.70  0.629  0.186  0.201  0.133  0.061  0.048  0.000
   79.08  0.635  0.188  0.203  0.135  0.062  0.048  0.000
   79.48  0.643  0.190  0.205  0.136  0.062  0.049  0.000
   79.76  0.648  0.192  0.207  0.137  0.063  0.049  0.000
   80.01  0.652  0.193  0.208  0.138  0.063  0.050  0.000
   80.55  0.662  0.196  0.212  0.140  0.064  0.050  0.000
   82.43  0.696  0.206  0.222  0.148  0.067  0.053  0.000
   82.74  0.701  0.207  0.224  0.149  0.068  0.053  0.000
   82.84  0.703  0.208  0.224  0.149  0.068  0.053  0.000
   83.42  0.712  0.211  0.227  0.151  0.069  0.054  0.000
   83.67  0.717  0.212  0.229  0.152  0.069  0.054  0.000
   84.01  0.725  0.214  0.231  0.154  0.070  0.055  0.000
   86.77  0.783  0.231  0.250  0.166  0.076  0.059  0.000
   86.86  0.784  0.232  0.251  0.166  0.076  0.060  0.000
   86.98  0.787  0.233  0.251  0.167  0.076  0.060  0.000
   87.30  0.794  0.235  0.253  0.168  0.077  0.060  0.000
   87.61  0.800  0.237  0.256  0.170  0.078  0.061  0.000
   88.09  0.810  0.240  0.259  0.172  0.078  0.062  0.000
   88.11  0.811  0.240  0.259  0.172  0.079  0.062  0.000
   88.14  0.811  0.240  0.259  0.172  0.079  0.062  0.000
   88.42  0.817  0.242  0.261  0.173  0.079  0.062  0.000
   88.64  0.822  0.243  0.262  0.174  0.080  0.062  0.000
   88.90  0.827  0.245  0.264  0.175  0.080  0.063  0.000
   89.14  0.832  0.246  0.266  0.176  0.081  0.063  0.000
   89.70  0.844  0.250  0.270  0.179  0.082  0.064  0.000
   90.14  0.853  0.252  0.272  0.181  0.083  0.065  0.000
   90.45  0.860  0.254  0.275  0.182  0.083  0.065  0.000
   90.71  0.865  0.256  0.276  0.183  0.084  0.066  0.000
   91.01  0.871  0.258  0.278  0.185  0.084  0.066  0.000
   91.48  0.881  0.261  0.281  0.187  0.085  0.067  0.000
   91.69  0.886  0.262  0.283  0.188  0.086  0.067  0.000
   91.81  0.888  0.263  0.284  0.188  0.086  0.067  0.000
   92.09  0.894  0.264  0.286  0.190  0.087  0.068  0.000
   92.81  0.909  0.269  0.290  0.193  0.088  0.069  0.000
   93.61  0.927  0.274  0.296  0.197  0.090  0.070  0.000
   94.07  0.938  0.278  0.300  0.199  0.091  0.071  0.000
   94.25  0.943  0.279  0.301  0.200  0.091  0.072  0.000
   94.39  0.946  0.280  0.302  0.201  0.092  0.072  0.000
   94.90  0.959  0.284  0.306  0.203  0.093  0.073  0.000
   95.37  0.970  0.287  0.310  0.206  0.094  0.074  0.000
   95.51  0.974  0.288  0.311  0.206  0.094  0.074  0.000
   95.81  0.981  0.290  0.313  0.208  0.095  0.074  0.000
   96.05  0.987  0.292  0.315  0.209  0.096  0.075  0.000
   96.49  0.998  0.295  0.319  0.212  0.097  0.076  0.000
   96.83  1.006  0.298  0.321  0.213  0.097  0.076  0.000
   97.12  1.013  0.300  0.324  0.215  0.098  0.077  0.000
   97.51  1.023  0.303  0.327  0.217  0.099  0.078  0.000
   97.87  1.032  0.305  0.330  0.219  0.100  0.078  0.000
   98.12  1.038  0.307  0.332  0.220  0.101  0.079  0.000
   98.26  1.041  0.308  0.333  0.221  0.101  0.079  0.000
   98.50  1.047  0.310  0.334  0.222  0.101  0.080  0.000
   99.71  1.077  0.319  0.344  0.228  0.104  0.082  0.000
   99.99  1.084  0.321  0.346  0.230  0.105  0.082  0.000
  100.54  1.098  0.325  0.351  0.233  0.106  0.083  0.000
  103.01  1.159  0.343  0.370  0.246  0.112  0.088  0.000
  103.15  1.162  0.344  0.371  0.246  0.113  0.088  0.000
  103.58  1.173  0.347  0.374  0.249  0.114  0.089  0.000
  103.94  1.181  0.349  0.377  0.251  0.114  0.090  0.000
  105.23  1.213  0.359  0.387  0.257  0.118  0.092  0.000
  106.25  1.238  0.366  0.396  0.263  0.120  0.094  0.000
  108.05  1.283  0.379  0.410  0.272  0.124  0.097  0.000
  109.98  1.331  0.394  0.425  0.282  0.129  0.101  0.000
  110.56  1.346  0.398  0.430  0.285  0.130  0.102  0.000
  110.62  1.348  0.399  0.430  0.286  0.131  0.102  0.000
  110.76  1.351  0.400  0.432  0.287  0.131  0.103  0.000
  111.16  1.362  0.403  0.435  0.289  0.132  0.103  0.000
  111.25  1.364  0.403  0.436  0.289  0.132  0.104  0.000
  113.80  1.429  0.423  0.456  0.303  0.138  0.108  0.000
  114.09  1.437  0.425  0.459  0.305  0.139  0.109  0.000
  114.24  1.442  0.426  0.460  0.306  0.140  0.109  0.000
  115.39  1.477  0.437  0.472  0.313  0.143  0.112  0.000
  115.82  1.491  0.441  0.476  0.316  0.144  0.113  0.000
  116.75  1.519  0.449  0.485  0.322  0.147  0.115  0.000
  117.20  1.533  0.454  0.490  0.325  0.149  0.116  0.000
  120.40  1.632  0.483  0.521  0.346  0.158  0.124  0.000
  121.15  1.655  0.490  0.529  0.351  0.160  0.126  0.000
  121.79  1.675  0.496  0.535  0.355  0.162  0.127  0.000
  122.70  1.703  0.504  0.544  0.361  0.165  0.129  0.000
  123.50  1.728  0.511  0.552  0.366  0.167  0.131  0.000
  127.65  1.857  0.549  0.593  0.394  0.180  0.141  0.000
  129.87  1.925  0.570  0.615  0.408  0.186  0.146  0.000
  130.30  1.939  0.576  0.621  0.409  0.187  0.146  0.000
  131.02  1.944  0.576  0.621  0.411  0.185  0.150  0.000
  131.21  1.940  0.575  0.620  0.410  0.185  0.150  0.000
  136.21  1.850  0.543  0.597  0.395  0.180  0.144  0.000
  136.28  1.848  0.542  0.595  0.394  0.179  0.143  0.000
  136.34  1.847  0.541  0.595  0.394  0.179  0.143  0.000
  136.45  1.845  0.539  0.593  0.392  0.178  0.143  0.000
  136.48  1.845  0.539  0.593  0.392  0.178  0.143  0.000
  141.20  1.912  0.551  0.617  0.407  0.184  0.149  0.000
  144.27  2.024  0.583  0.655  0.431  0.193  0.157  0.000
  145.04  2.052  0.591  0.667  0.437  0.198  0.158  0.000
  148.40  2.174  0.623  0.706  0.466  0.208  0.166  0.000
  150.10  2.236  0.639  0.728  0.476  0.215  0.173  0.000
  152.15  2.260  0.645  0.738  0.483  0.218  0.176  0.000
  154.18  1.967  0.558  0.645  0.422  0.187  0.151  0.000
  157.73  2.047  0.577  0.674  0.440  0.198  0.157  0.000
  158.37  2.070  0.585  0.682  0.447  0.199  0.162  0.000
  159.98  2.173  0.611  0.716  0.468  0.211  0.168  0.000
  160.37  2.204  0.617  0.728  0.472  0.213  0.170  0.000
  162.01  2.333  0.651  0.772  0.504  0.223  0.178  0.000
  164.15  2.501  0.697  0.829  0.542  0.240  0.193  0.000
  167.50  2.614  0.725  0.865  0.567  0.250  0.207  0.000
  168.17  2.615  0.723  0.867  0.565  0.254  0.206  0.000
  168.55  2.615  0.725  0.869  0.568  0.253  0.205  0.000
  168.92  2.616  0.724  0.867  0.567  0.253  0.205  0.000
  169.70  2.618  0.726  0.868  0.569  0.251  0.204  0.000
  171.08  2.620  0.724  0.870  0.569  0.254  0.207  0.000
  172.17  2.622  0.724  0.874  0.570  0.252  0.206  0.000
  173.08  2.624  0.720  0.873  0.571  0.251  0.204  0.000
  174.58  2.626  0.723  0.875  0.571  0.253  0.207  0.000
  175.26  2.628  0.720  0.876  0.573  0.252  0.206  0.000
  177.24  2.676  0.733  0.895  0.581  0.258  0.212  0.000
  178.05  2.731  0.745  0.913  0.595  0.262  0.215  0.000
  179.27  2.813  0.767  0.939  0.613  0.273  0.220  0.000
  179.75  2.846  0.778  0.952  0.623  0.275  0.222  0.000
  180.41  2.901  0.789  0.970  0.632  0.279  0.230  0.000
  181.14  2.996  0.816  1.002  0.655  0.287  0.237  0.000
  182.17  3.130  0.848  1.052  0.686  0.304  0.246  0.000
  183.45  3.297  0.897  1.104  0.722  0.317  0.257  0.000
  184.53  3.414  0.922  1.147  0.748  0.332  0.264  0.000
  184.80  3.420  0.922  1.147  0.748  0.332  0.264  0.000
  185.21  3.428  0.927  1.152  0.753  0.332  0.270  0.000
  186.60  3.456  0.933  1.163  0.759  0.337  0.270  0.000
  186.87  3.462  0.933  1.163  0.759  0.337  0.270  0.000
  187.95  3.484  0.938  1.174  0.764  0.337  0.270  0.000
  188.23  3.489  0.938  1.174  0.764  0.337  0.270  0.000
  188.31  3.491  0.939  1.175  0.765  0.337  0.270  0.000
  190.02  3.526  0.945  1.187  0.776  0.343  0.276  0.000
  191.04  3.546  0.950  1.197  0.781  0.348  0.275  0.000
  191.34  3.553  0.950  1.197  0.781  0.349  0.275  0.000
  192.40  3.574  0.955  1.208  0.787  0.348  0.275  0.000
  192.82  3.587  0.963  1.211  0.788  0.349  0.276  0.000
  193.52  3.623  0.968  1.223  0.798  0.351  0.283  0.000
  195.13  3.707  0.987  1.257  0.815  0.362  0.287  0.000
  196.52  3.780  1.004  1.283  0.836  0.372  0.290  0.000
  196.65  3.786  1.006  1.285  0.838  0.372  0.291  0.000
  197.44  3.827  1.018  1.299  0.843  0.375  0.293  0.000
  198.58  3.887  1.034  1.317  0.857  0.378  0.301  0.000
  200.02  3.944  1.045  1.336  0.873  0.386  0.303  0.000
  201.13  3.954  1.048  1.344  0.876  0.385  0.302  0.000
  202.05  3.963  1.051  1.347  0.880  0.390  0.301  0.000
  202.64  3.968  1.050  1.350  0.879  0.389  0.301  0.000
  203.81  4.011  1.060  1.369  0.889  0.391  0.308  0.000
  204.25  4.029  1.062  1.371  0.890  0.392  0.309  0.000
  204.94  4.056  1.066  1.382  0.899  0.399  0.310  0.000
  206.26  4.110  1.078  1.402  0.911  0.401  0.312  0.000
  206.38  4.115  1.080  1.404  0.912  0.402  0.312  0.000
  207.46  4.158  1.091  1.422  0.922  0.410  0.313  0.000
  208.33  4.194  1.101  1.434  0.932  0.411  0.315  0.000
  209.63  4.246  1.113  1.454  0.943  0.420  0.322  0.000
  209.78  4.252  1.115  1.456  0.944  0.420  0.323  0.000
  211.32  4.314  1.128  1.477  0.956  0.423  0.325  0.000
  212.14  4.348  1.138  1.488  0.965  0.424  0.326  0.000
  213.78  4.414  1.151  1.517  0.978  0.433  0.334  0.000
  214.75  4.453  1.163  1.530  0.989  0.435  0.336  0.000
  215.16  4.470  1.166  1.534  0.997  0.443  0.337  0.000
  216.88  4.600  1.196  1.584  1.024  0.452  0.344  0.000
  218.19  4.700  1.220  1.620  1.046  0.465  0.349  0.000
  219.13  4.771  1.240  1.645  1.064  0.470  0.352  0.000
  220.08  4.844  1.254  1.670  1.082  0.482  0.356  0.000
  221.44  4.938  1.276  1.704  1.102  0.488  0.367  0.000
  221.82  4.959  1.280  1.709  1.106  0.489  0.369  0.000
  224.74  5.124  1.325  1.776  1.148  0.506  0.376  0.000
  225.12  5.145  1.329  1.781  1.151  0.507  0.377  0.000
  227.01  5.252  1.353  1.825  1.179  0.513  0.382  0.000
  227.19  5.262  1.355  1.828  1.182  0.514  0.382  0.000
  227.47  5.278  1.365  1.831  1.184  0.515  0.383  0.000
  228.70  5.347  1.381  1.857  1.198  0.526  0.385  0.000
  230.65  5.457  1.405  1.895  1.228  0.532  0.390  0.000
  231.55  5.491  1.408  1.913  1.238  0.533  0.391  0.000
  232.60  5.523  1.418  1.924  1.247  0.542  0.392  0.000
  233.84  5.561  1.428  1.942  1.257  0.543  0.393  0.000
  234.38  5.578  1.428  1.950  1.257  0.543  0.400  0.000
  237.12  5.663  1.457  1.988  1.285  0.553  0.402  0.000
  237.20  5.665  1.458  1.989  1.285  0.553  0.402  0.000
  237.33  5.669  1.457  1.988  1.285  0.553  0.402  0.000
  239.87  5.748  1.468  2.014  1.302  0.554  0.403  0.000
  240.71  5.774  1.478  2.026  1.312  0.562  0.404  0.000
  241.74  5.806  1.478  2.034  1.320  0.563  0.404  0.000
  243.03  5.846  1.488  2.052  1.330  0.564  0.405  0.000
  243.78  5.869  1.498  2.062  1.339  0.564  0.405  0.000
  244.92  5.904  1.501  2.082  1.342  0.573  0.406  0.000
  245.94  5.935  1.513  2.095  1.353  0.575  0.407  0.000
  246.21  5.944  1.521  2.103  1.353  0.575  0.407  0.000
  246.91  5.965  1.522  2.112  1.362  0.575  0.408  0.000
  247.18  5.974  1.524  2.115  1.364  0.576  0.408  0.000
  249.18  6.036  1.544  2.144  1.383  0.585  0.410  0.000
  251.10  6.089  1.555  2.164  1.394  0.587  0.411  0.000
  251.95  6.081  1.550  2.163  1.396  0.592  0.409  0.000
  252.19  6.079  1.556  2.170  1.396  0.592  0.409  0.000
  253.78  6.065  1.551  2.167  1.399  0.587  0.406  0.000
  256.32  6.043  1.541  2.165  1.398  0.588  0.401  0.000
  256.38  6.042  1.541  2.165  1.398  0.588  0.401  0.000
  256.64  6.040  1.546  2.168  1.396  0.587  0.401  0.000
  256.92  6.038  1.543  2.165  1.393  0.586  0.400  0.000
  257.16  6.036  1.541  2.169  1.398  0.585  0.392  0.000
  257.39  6.034  1.539  2.166  1.396  0.584  0.392  0.000
  258.36  6.079  1.552  2.181  1.402  0.586  0.393  0.000
  259.52  6.180  1.570  2.214  1.425  0.601  0.398  0.000
  261.05  6.282  1.594  2.260  1.455  0.607  0.402  0.000
  262.99  6.369  1.620  2.290  1.473  0.618  0.405  0.000
  264.24  6.424  1.625  2.311  1.484  0.620  0.399  0.000
  264.80  6.449  1.634  2.315  1.494  0.621  0.399  0.000
  270.51  6.704  1.685  2.415  1.550  0.647  0.399  0.000
  271.99  6.770  1.704  2.446  1.567  0.651  0.401  0.000
  272.64  6.799  1.715  2.458  1.578  0.653  0.395  0.000
  274.19  6.868  1.732  2.488  1.595  0.664  0.397  0.000
  275.35  6.919  1.747  2.506  1.609  0.667  0.398  0.000
  275.67  6.934  1.749  2.516  1.611  0.667  0.391  0.000
  276.15  6.955  1.752  2.521  1.622  0.669  0.392  0.000
  276.84  6.986  1.764  2.534  1.625  0.670  0.393  0.000
  277.01  6.993  1.764  2.534  1.625  0.670  0.393  0.000
  277.27  7.005  1.767  2.546  1.628  0.671  0.393  0.000
  278.40  7.055  1.781  2.563  1.642  0.682  0.395  0.000
  281.41  7.113  1.796  2.593  1.664  0.681  0.387  0.000
  284.15  7.131  1.794  2.611  1.671  0.685  0.377  0.000
  285.70  7.142  1.797  2.619  1.674  0.683  0.369  0.000
  289.17  7.165  1.803  2.635  1.688  0.680  0.359  0.000
  290.69  7.175  1.807  2.646  1.693  0.686  0.351  0.000
  291.70  7.181  1.811  2.647  1.689  0.685  0.350  0.000
  292.78  7.189  1.809  2.660  1.695  0.684  0.342  0.000
  296.19  7.349  1.849  2.727  1.741  0.693  0.339  0.000
  299.50  7.548  1.899  2.809  1.789  0.714  0.330  0.000
  303.31  7.677  1.937  2.862  1.834  0.719  0.324  0.000
  303.78  7.693  1.939  2.873  1.836  0.720  0.324  0.000
  315.02  8.163  2.141  3.207  2.039  0.785  0.000  0.000
  316.20  8.208  2.146  3.223  2.052  0.787  0.000  0.000
  319.01  8.316  2.174  3.273  2.079  0.799  0.000  0.000
  319.83  8.348  2.186  3.287  2.083  0.800  0.000  0.000
  320.56  8.376  2.189  3.300  2.094  0.801  0.000  0.000
  335.41  8.508  2.217  3.368  2.133  0.789  0.000  0.000
  345.13  8.993  2.337  3.580  2.259  0.817  0.000  0.000
  345.74  9.033  2.345  3.601  2.276  0.820  0.000  0.000
  347.39  9.141  2.373  3.648  2.303  0.826  0.000  0.000
  349.85  9.302  2.410  3.709  2.339  0.836  0.000  0.000
  356.01  9.495  2.466  3.801  2.394  0.834  0.000  0.000
  360.80  9.611  2.493  3.861  2.430  0.837  0.000  0.000
  364.48  9.701  2.515  3.913  2.452  0.829  0.000  0.000
  368.07  9.788  2.537  3.946  2.474  0.831  0.000  0.000
  399.82 10.390  2.697  4.267  2.641  0.776  0.000  0.000
  401.14 10.546  2.744  4.336  2.688  0.777  0.000  0.000
  401.94 10.640  2.766  4.371  2.710  0.784  0.000  0.000
  403.26 10.796  2.804  4.441  2.747  0.794  0.000  0.000
  417.24 11.183  2.915  4.637  2.857  0.773  0.000  0.000
  430.47 11.317  2.966  4.728  2.908  0.724  0.000  0.000
  436.70 11.380  3.192  5.080  3.119  0.000  0.000  0.000
  453.01 11.816  3.311  5.290  3.225  0.000  0.000  0.000
  454.01 11.915  3.339  5.331  3.245  0.000  0.000  0.000
  455.01 12.014  3.362  5.280  3.271  0.000  0.000  0.000
  456.01 12.113  3.396  5.423  3.293  0.000  0.000  0.000
  457.01 12.212  3.418  5.469  3.324  0.000  0.000  0.000
  458.01 12.255  3.432  5.488  3.336  0.000  0.000  0.000
  459.01 12.247  3.429  5.486  3.332  0.000  0.000  0.000
  460.01 12.238  3.433  5.478  3.326  0.000  0.000  0.000
  461.01 12.229  3.426  5.473  3.329  0.000  0.000  0.000
  462.01 12.215  3.421  5.471  3.324  0.000  0.000  0.000
  463.01 11.759  3.302  5.270  3.198  0.000  0.000  0.000
  464.01 11.302  3.169  5.065  3.069  0.000  0.000  0.000
  465.01 11.178  3.137  5.003  3.038  0.000  0.000  0.000
  465.22 11.180  3.130  5.009  3.041  0.000  0.000  0.000
  466.01 11.189  3.136  5.017  3.036  0.000  0.000  0.000
  467.01 11.200  3.138  5.023  3.038  0.000  0.000  0.000
  468.01 11.211  3.147  5.029  3.046  0.000  0.000  0.000
  469.01 11.222  3.151  5.032  3.039  0.000  0.000  0.000
  470.01 11.233  3.156  5.035  3.043  0.000  0.000  0.000
  471.01 11.244  3.151  5.045  3.048  0.000  0.000  0.000
  472.01 11.293  3.174  5.070  3.059  0.000  0.000  0.000
  473.01 11.381  3.193  5.103  3.085  0.000  0.000  0.000
  474.01 11.470  3.215  5.144  3.111  0.000  0.000  0.000
  475.01 11.558  3.243  5.183  3.132  0.000  0.000  0.000
  476.01 11.647  3.265  5.228  3.153  0.000  0.000  0.000
  477.01 11.736  3.300  5.266  3.180  0.000  0.000  0.000
  478.01 11.824  3.320  5.303  3.202  0.000  0.000  0.000
  479.01 11.913  3.347  5.349  3.216  0.000  0.000  0.000
  480.01 12.007  3.372  5.387  3.247  0.000  0.000  0.000
  481.01 12.104  3.397  5.429  3.268  0.000  0.000  0.000
  482.01 12.202  3.431  5.482  3.299  0.000  0.000  0.000
  483.01 12.300  3.462  5.519  3.318  0.000  0.000  0.000
  484.01 12.397  3.490  5.565  3.343  0.000  0.000  0.000
  485.01 12.495  3.514  5.605  3.365  0.000  0.000  0.000
  486.01 12.592  3.543  5.657  3.392  0.000  0.000  0.000
  487.01 12.619  3.552  5.667  3.400  0.000  0.000  0.000
  488.01 12.545  3.532  5.632  3.381  0.000  0.000  0.000
  489.01 12.470  3.514  5.603  3.364  0.000  0.000  0.000
  489.50 12.434  3.493  5.587  3.343  0.000  0.000  0.000
  490.01 12.396  3.485  5.574  3.336  0.000  0.000  0.000
  491.01 12.321  3.467  5.535  3.319  0.000  0.000  0.000
  492.01 12.253  3.451  5.509  3.293  0.000  0.000  0.000
  493.01 12.199  3.437  5.481  3.280  0.000  0.000  0.000
  494.01 12.145  3.427  5.458  3.260  0.000  0.000  0.000
  495.01 12.090  3.406  5.434  3.250  0.000  0.000  0.000
  496.01 12.036  3.392  5.407  3.227  0.000  0.000  0.000
  497.01 11.982  3.381  5.383  3.218  0.000  0.000  0.000
  498.01 11.928  3.367  5.355  3.195  0.000  0.000  0.000
  499.01 11.873  3.346  5.342  3.185  0.000  0.000  0.000
  499.37 11.854  3.348  5.329  3.177  0.000  0.000  0.000
  500.01 11.819  3.335  5.319  3.175  0.000  0.000  0.000
  501.01 11.765  3.317  5.290  3.158  0.000  0.000  0.000
  502.01 11.797  3.333  5.310  3.164  0.000  0.000  0.000
  503.01 11.837  3.342  5.323  3.172  0.000  0.000  0.000
  504.01 11.878  3.351  5.337  3.180  0.000  0.000  0.000
  507.93 12.037  3.407  5.415  3.215  0.000  0.000  0.000
  515.60 12.320  3.496  5.545  3.279  0.000  0.000  0.000
  520.66 12.506  3.554  5.629  3.323  0.000  0.000  0.000
  525.80 12.694  3.609  5.721  3.365  0.000  0.000  0.000
  537.02 12.111  3.459  5.456  3.187  0.000  0.000  0.000
  542.80 12.434  3.570  5.603  3.261  0.000  0.000  0.000
  550.01 12.445  3.579  5.616  3.250  0.000  0.000  0.000
  554.37 12.439  3.589  5.609  3.240  0.000  0.000  0.000
  558.60 12.478  3.608  5.622  3.238  0.000  0.000  0.000
  562.80 12.598  3.653  5.687  3.258  0.000  0.000  0.000
  568.50 12.760  3.718  5.755  3.287  0.000  0.000  0.000
  572.30 12.868  3.760  5.804  3.315  0.000  0.000  0.000
  580.40 13.099  3.846  5.914  3.350  0.000  0.000  0.000
  584.33 13.204  3.884  5.957  3.363  0.000  0.000  0.000
  592.40 13.034  3.860  5.881  3.293  0.000  0.000  0.000
  599.60 13.146  3.908  5.932  3.305  0.000  0.000  0.000
  609.76 13.304  3.992  5.994  3.318  0.000  0.000  0.000
  616.60 13.411  4.057  6.042  3.323  0.000  0.000  0.000
  624.93 13.309  4.048  5.996  3.254  0.000  0.000  0.000
  629.73 13.194  4.038  5.938  3.217  0.000  0.000  0.000
  638.50 12.841  3.971  5.773  3.097  0.000  0.000  0.000
  640.41 12.524  3.877  5.635  3.013  0.000  0.000  0.000
  640.93 12.438  3.853  5.590  2.984  0.000  0.000  0.000
  641.81 12.406  3.853  5.576  2.977  0.000  0.000  0.000
  644.10 12.665  3.937  5.697  3.031  0.000  0.000  0.000
  650.30 12.356  3.874  5.556  2.936  0.000  0.000  0.000
  657.30 11.930  3.771  5.349  2.799  0.000  0.000  0.000
  661.40 11.648  3.704  5.224  2.719  0.000  0.000  0.000
  671.50  8.577  3.587  4.982  0.000  0.000  0.000  0.000
  681.70  8.535  3.607  4.929  0.000  0.000  0.000  0.000
  685.71  8.523  3.617  4.907  0.000  0.000  0.000  0.000
  690.80  8.523  3.632  4.883  0.000  0.000  0.000  0.000
  694.30  8.523  3.643  4.880  0.000  0.000  0.000  0.000
  700.01  8.523  3.672  4.851  0.000  0.000  0.000  0.000
  701.01  8.523  3.679  4.845  0.000  0.000  0.000  0.000
